scorer,summariser,task_name,condition,score,judgment,answer
deepseek-reasoner,claude-3-7-sonnet-20250219,task_1,rm_np,9,"### Explanation
The assistant's response effectively translates the Prolog predicates into accessible strategies for a non-technical audience. It succeeds in:
1. **Creating clear strategy names** (""Direct Win Finder"", ""Two-Pair Strategy"", ""Forced Win Setup"") that replace predicate logic.
2. **Explaining progression logically** by prioritizing immediate wins, then advantageous positions, then multi-step setups - mirroring the predicate hierarchy.
3. **Maintaining simplicity** by avoiding code terms (e.g., ""win_2_1"" becomes ""two pairs while opponent has none"").
4. **Addressing opponent behavior** by emphasizing optimal play and forcing losing positions.

Minor improvements could include:
- Explicitly tying ""pairs"" to resource types (Blue/Orange)
- Clarifying that ""pairs"" refer to incomplete triplets
- Reinforcing that ""white cells"" are empty positions

The response accurately reflects the Prolog logic while remaining jargon-free.

Rating: [[9]]","# How to Win at the Blue vs Orange Game

## Understanding the Game

This game is played on a grid where you (Blue) take turns with your opponent (Orange). Your goal is to create winning patterns on the board by selecting empty cells.

## Key Strategies to Win

### Finding an Immediate Win
The ""Direct Win Finder"" helps you identify moves that will immediately win the game. It looks for a move that creates a winning pattern right away.

### Creating a Two-Pair Advantage
The ""Two-Pair Strategy"" looks for moves that will give you two pairs on the board while your opponent has none. This creates a strong position that often leads to victory.

### Setting Up a Forced Win
The ""Forced Win Setup"" is a more complex strategy that works in three steps:
1. Make a move that creates one pair for you
2. Force your opponent into a specific move
3. Set up a situation where you can create two pairs in your next move

## How to Apply These Strategies

When it's your turn:
1. First, check if you can win immediately by looking for a move that completes a winning line
2. If not, look for a move that creates two pairs while blocking your opponent
3. If neither is possible, try to set up a forced win by creating one pair that leads to a stronger position later

Remember that your opponent plays optimally, so they will always choose the best move to block your strategy. You need to think ahead and create situations where they have no good options.

Choose empty (white) cells that either win directly or force your opponent into a losing position in the next few moves."
deepseek-reasoner,claude-3-7-sonnet-20250219,task_2,rm_np,9,"### Explanation
The assistant's response effectively translates complex Prolog logic into accessible strategies for a non-programming audience. It succeeds in:
1. **Renaming predicates intuitively**: ""Direct Win Finder"" (immediate win), ""Two-Pair Strategy"" (win_2), and ""Forced Win Setup"" (win_3) are clear and reusable.
2. **Aligning with reference answer**: The ""Two-Pair Strategy"" directly corresponds to the reference's core tactic of creating two unblockable threats while denying opponent pairs.
3. **Sequential guidance**: The application steps (check immediate win → two-pair → forced setup) mirror the Prolog predicate hierarchy (win_1 → win_2 → win_3).
4. **Accessibility**: Avoids all technical terms (e.g., no mention of predicates/boards) and uses plain language like ""winning patterns"" and ""strong position"".

Minor improvement opportunity: Could emphasize that the ""Two-Pair Strategy"" specifically requires the opponent to have *zero* pairs (as in the reference) rather than just ""blocking opponent"".

### Rating  
[[9]]","# How to Win at the Blue vs Orange Game

## Understanding the Game

This game is played on a grid where you (Blue) take turns with your opponent (Orange). Your goal is to create winning patterns on the board by selecting empty cells.

## Key Strategies to Win

### Finding an Immediate Win
The ""Direct Win Finder"" helps you identify moves that will immediately win the game. It looks for a move that creates a winning pattern right away.

### Creating a Two-Pair Advantage
The ""Two-Pair Strategy"" looks for moves that will give you two pairs on the board while your opponent has none. This creates a strong position that often leads to victory.

### Setting Up a Forced Win
The ""Forced Win Setup"" is a more complex strategy that works in three steps:
1. Make a move that creates one pair for you
2. Force your opponent into a specific move
3. Set up a situation where you can create two pairs in your next move

## How to Apply These Strategies

When it's your turn:
1. First, check if you can win immediately by looking for a move that completes a winning line
2. If not, look for a move that creates two pairs while blocking your opponent
3. If neither is possible, try to set up a forced win by creating one pair that leads to a stronger position later

Remember that your opponent plays optimally, so they will always choose the best move to block your strategy. You need to think ahead and create situations where they have no good options.

Choose empty (white) cells that either win directly or force your opponent into a losing position in the next few moves."
deepseek-reasoner,claude-3-7-sonnet-20250219,task_3,rm_np,7,"### Explanation of Evaluation

The assistant's response effectively translates Prolog-based game strategies into plain language for non-technical users. It successfully renames predicates (e.g., ""win_1"" becomes ""Direct Win Finder"") and explains three core strategies without using jargon. The explanation mirrors the reference answer's key concepts:  
- Immediate wins (""Direct Win Finder"" aligns with `win_1`)  
- Two-pair advantages (""Two-Pair Strategy"" reflects `win_2`)  
- Multi-step forced wins (""Forced Win Setup"" corresponds to `win_3`'s sequence)  

However, the assistant's explanation of the forced win strategy lacks the precision of the reference answer. While it mentions ""creating one pair"" and ""forcing the opponent,"" it omits critical details:  
1. The explicit consequence that the opponent *must* block (optimal play)  
2. The outcome where the user creates *two distinct pairs* afterward  
3. The opponent's inability to block both pairs simultaneously  

The response remains helpful and logically structured but loses some strategic clarity in the forced-win section compared to the reference. Depth and accuracy are slightly impacted, though accessibility is well-maintained.

Rating: [[7]]","# How to Win at the Blue vs Orange Game

## Understanding the Game

This game is played on a grid where you (Blue) take turns with your opponent (Orange). Your goal is to create winning patterns on the board by selecting empty cells.

## Key Strategies to Win

### Finding an Immediate Win
The ""Direct Win Finder"" helps you identify moves that will immediately win the game. It looks for a move that creates a winning pattern right away.

### Creating a Two-Pair Advantage
The ""Two-Pair Strategy"" looks for moves that will give you two pairs on the board while your opponent has none. This creates a strong position that often leads to victory.

### Setting Up a Forced Win
The ""Forced Win Setup"" is a more complex strategy that works in three steps:
1. Make a move that creates one pair for you
2. Force your opponent into a specific move
3. Set up a situation where you can create two pairs in your next move

## How to Apply These Strategies

When it's your turn:
1. First, check if you can win immediately by looking for a move that completes a winning line
2. If not, look for a move that creates two pairs while blocking your opponent
3. If neither is possible, try to set up a forced win by creating one pair that leads to a stronger position later

Remember that your opponent plays optimally, so they will always choose the best move to block your strategy. You need to think ahead and create situations where they have no good options.

Choose empty (white) cells that either win directly or force your opponent into a losing position in the next few moves."
deepseek-reasoner,claude-3-7-sonnet-20250219,task_1,rm_ap,8,"### Explanation
The assistant's response effectively translates the Prolog-based strategies into plain language for a non-technical audience. Key strengths include:
1. **Predicate Renaming**: Creates accessible names (e.g., ""Direct Win Strategy"" for `inv_1`, ""Two-Pair Strategy"" for `inv_2`) without technical terms.  
2. **Clarity**: Uses simple language to explain multi-step strategies (e.g., the ""Building Advantage Strategy"" mirrors `inv_3`'s recursive checks).  
3. **Relevance**: Focuses on actionable steps (e.g., checking for immediate wins, then setups for future advantages) that align with the game's goal.  
4. **Depth**: Covers all three core strategies from the program while emphasizing opponent counterplay.  

Minor limitations:  
- The ""Two-Pair Strategy"" could explicitly note that ""pairs"" refer to *two resources in a potential winning line* (implied but not stated).  
- The reference answer prioritizes immediate wins more directly, but the assistant's broader strategic framing remains valid.  

Overall, the response adheres to instructions by avoiding jargon, code, and analogies while making the logic accessible.  

Rating: [[8]]","# Understanding the Tic-Tac-Toe Strategy Game

I'll explain how to approach this game using simple strategies without any technical terms.

## Key Concepts

- **Board Checker**: Examines the current state of the game board
- **Move Maker**: Places your piece (Blue) on an empty spot
- **Win Detector**: Determines if someone has won the game
- **Line Counter**: Counts how many potential winning lines you have

## Winning Strategies

### Direct Win Strategy
This strategy looks for an immediate winning move. If you can place your piece to create a line of three Blue pieces, do it right away.

### Two-Pair Strategy
This looks for moves that create two pairs of Blue pieces (where each pair has potential to become a winning line). When you have two such pairs, you're in a strong position.

### Building Advantage Strategy
This is a multi-step approach:
1. First make a move that creates one Blue pair
2. Then make another move that eliminates all Orange pairs
3. Finally, set up a position where you can create two Blue pairs

## How to Apply These Strategies

Since your opponent plays optimally, you need to be strategic:

1. First, check if you can win immediately using the Direct Win Strategy
2. If not, try to set up the Two-Pair Strategy, which often forces your opponent into a defensive position
3. If neither is possible, use the Building Advantage Strategy to gradually gain control

Look for empty white cells that help you create these advantageous positions. Remember that your opponent will always choose their best move, so you need to think ahead about how they might respond to your moves.

Choose white cells that lead to situations where your opponent has no good counter-move, ultimately forcing them into a position where you can win."
deepseek-reasoner,claude-3-7-sonnet-20250219,task_2,rm_ap,7,"### Explanation
The assistant's response provides a clear, non-technical explanation of game strategies using renamed predicates as instructed. It effectively translates Prolog concepts into plain language without using jargon or code. The three strategies (Direct Win, Two-Pair, and Building Advantage) align with the reference answer's core idea of creating multiple threats. However, it lacks explicit emphasis on the critical condition from the reference: ensuring the opponent has *zero pairs* after your move. The ""Two-Pair Strategy"" section implicitly covers this but could more directly stress disabling the opponent's pairs. The step-by-step application guide is practical, though it slightly underemphasizes forcing the opponent into an unwinnable position as the ultimate goal. Overall, it meets accessibility requirements but has minor gaps in replicating the reference's precision about opponent resource denial.

Rating: [[7]]","# Understanding the Tic-Tac-Toe Strategy Game

I'll explain how to approach this game using simple strategies without any technical terms.

## Key Concepts

- **Board Checker**: Examines the current state of the game board
- **Move Maker**: Places your piece (Blue) on an empty spot
- **Win Detector**: Determines if someone has won the game
- **Line Counter**: Counts how many potential winning lines you have

## Winning Strategies

### Direct Win Strategy
This strategy looks for an immediate winning move. If you can place your piece to create a line of three Blue pieces, do it right away.

### Two-Pair Strategy
This looks for moves that create two pairs of Blue pieces (where each pair has potential to become a winning line). When you have two such pairs, you're in a strong position.

### Building Advantage Strategy
This is a multi-step approach:
1. First make a move that creates one Blue pair
2. Then make another move that eliminates all Orange pairs
3. Finally, set up a position where you can create two Blue pairs

## How to Apply These Strategies

Since your opponent plays optimally, you need to be strategic:

1. First, check if you can win immediately using the Direct Win Strategy
2. If not, try to set up the Two-Pair Strategy, which often forces your opponent into a defensive position
3. If neither is possible, use the Building Advantage Strategy to gradually gain control

Look for empty white cells that help you create these advantageous positions. Remember that your opponent will always choose their best move, so you need to think ahead about how they might respond to your moves.

Choose white cells that lead to situations where your opponent has no good counter-move, ultimately forcing them into a position where you can win."
deepseek-reasoner,claude-3-7-sonnet-20250219,task_3,rm_ap,9,"### Explanation
The assistant's response effectively translates the Prolog program's logic into non-technical strategies for a non-programmer. It successfully renames predicates (e.g., ""Win Detector"" for `won` and ""Two-Pair Strategy"" for `inv_2`) while avoiding jargon. The three-strategy framework aligns with the program's core predicates:  
1. **Direct Win Strategy** corresponds to `inv_1` (immediate win).  
2. **Two-Pair Strategy** mirrors `inv_2` (two pairs of resources).  
3. **Building Advantage Strategy** accurately models `inv_3`'s multi-step approach (create one pair → force opponent → set up two pairs).  

The explanation clearly addresses optimal opponent play and forward-thinking, matching the reference's emphasis on forcing unwinnable counter-moves. However, minor details about resource capture (""press a WHITE cell"") could be more explicitly integrated.  

Overall, the response is highly accessible, logically structured, and covers all critical strategies from the Prolog program.  

Rating: [[9]]","# Understanding the Tic-Tac-Toe Strategy Game

I'll explain how to approach this game using simple strategies without any technical terms.

## Key Concepts

- **Board Checker**: Examines the current state of the game board
- **Move Maker**: Places your piece (Blue) on an empty spot
- **Win Detector**: Determines if someone has won the game
- **Line Counter**: Counts how many potential winning lines you have

## Winning Strategies

### Direct Win Strategy
This strategy looks for an immediate winning move. If you can place your piece to create a line of three Blue pieces, do it right away.

### Two-Pair Strategy
This looks for moves that create two pairs of Blue pieces (where each pair has potential to become a winning line). When you have two such pairs, you're in a strong position.

### Building Advantage Strategy
This is a multi-step approach:
1. First make a move that creates one Blue pair
2. Then make another move that eliminates all Orange pairs
3. Finally, set up a position where you can create two Blue pairs

## How to Apply These Strategies

Since your opponent plays optimally, you need to be strategic:

1. First, check if you can win immediately using the Direct Win Strategy
2. If not, try to set up the Two-Pair Strategy, which often forces your opponent into a defensive position
3. If neither is possible, use the Building Advantage Strategy to gradually gain control

Look for empty white cells that help you create these advantageous positions. Remember that your opponent will always choose their best move, so you need to think ahead about how they might respond to your moves.

Choose white cells that lead to situations where your opponent has no good counter-move, ultimately forcing them into a position where you can win."
deepseek-reasoner,claude-3-7-sonnet-20250219,task_1,lens_np,6,"### Explanation of Evaluation
The assistant's response provides a structured strategy guide for winning the resource capture game. While it correctly identifies core strategic concepts (immediate, two-step, and three-step wins) and emphasizes board analysis, it has notable shortcomings when compared to the reference answer and task requirements:

1. **Lack of Specificity**: The reference answer explicitly targets completing triplets (""two of the three resources"") as the winning condition. The assistant vaguely refers to ""completing winning patterns"" without defining what constitutes a win (triplet formation), reducing clarity for a non-programmer.  

2. **Overcomplication**: Introducing ""Three-Step Win Strategy"" adds unnecessary complexity. The reference focuses solely on immediate opportunities (""two of the three"") and does not mention multi-turn setups, making the assistant's approach less aligned with the task's simplicity.  

3. **Missing Core Instruction**: The assistant does not rename predicates into plain-language concepts (e.g., ""triplet completion"" for `win_1`). Instead, it uses generic terms like ""Immediate Win Strategy,"" which lacks the concrete, reusable terminology requested.  

4. **Relevance**: Though the high-level strategies (e.g., blocking opponents) are helpful, they overshadow the primary task: identifying *existing near-complete triplets*. The reference answer prioritizes this singular focus.  

The response uses accessible language and avoids jargon, but its lack of precision and failure to emphasize the triplet mechanism (the central win condition) reduces its effectiveness for a non-technical audience.  

Rating: [[6]]","# How to Win the Resource Capture Game

## Understanding the Game

In this game, you play as Blue against an opponent (Orange) who always makes the best possible moves. Your goal is to select white cells to capture resources that will lead to a win.

## Key Strategies

### Immediate Win Strategy
Look for moves that will directly win the game in a single turn. When you see a chance to win immediately, take it without hesitation.

### Two-Step Win Strategy
Find moves that set up a guaranteed win on your next turn. These are positions where you can force a win even if your opponent plays perfectly.

### Three-Step Win Strategy
Identify moves that create winning opportunities within three turns. These are more complex situations where you're setting up future advantages.

### Board Analysis
Examine the current state of the board carefully. Look for:
- Lines (rows, columns, or diagonals) where you already have resources
- Empty white cells that could complete winning patterns
- Areas where capturing a resource would block your opponent

### Turn Management
Keep track of whose turn it is and how many moves have been made. This helps you anticipate your opponent's options and plan accordingly.

## How to Apply These Strategies

1. First, scan the board for any immediate win opportunities using the Immediate Win Strategy.

2. If no immediate win is possible, look for moves that set up a guaranteed win on your next turn using the Two-Step Win Strategy.

3. If neither of the above works, use the Three-Step Win Strategy to create advantageous positions for future turns.

4. Always remember that your opponent plays optimally, so avoid moves that give them winning opportunities.

5. When in doubt, choose positions that both advance your goals and block your opponent's progress.

By applying these strategies systematically, you can make the best possible moves to capture resources and achieve victory."
deepseek-reasoner,claude-3-7-sonnet-20250219,task_2,lens_np,3,"### Explanation of Evaluation

The assistant's response aims to explain winning strategies for a resource capture game against an optimal opponent. While it avoids technical jargon and uses plain language, it fails to meet several key requirements:

1. **Lack of Predicate Renaming**:  
   The response does not create new names for relevant strategies (as demonstrated in the samples), instead reusing generic terms like ""Immediate Win Strategy"" without defining unique identifiers for reuse. The samples explicitly renamed predicates (e.g., ""Winning Conditions"" → win_1/win_2/win_3).

2. **Irrelevance to the Task**:  
   The strategies described (e.g., ""Three-Step Win"") are copied from the tic-tac-toe samples and do not address the resource capture game's mechanics. The reference answer emphasizes creating **two distinct resource pairs** to force a win—a concept entirely missing from the assistant's response.

3. **Surface-Level Analysis**:  
   The ""Board Analysis"" section vaguely mentions ""lines"" and ""patterns"" (inherited from tic-tac-toe samples) but never connects them to resources or opponent blocking. It ignores the core mechanic: leveraging white cells to create unblockable threats.

4. **No Task-Specific Adaptation**:  
   The response generically discusses ""scanning the board"" without specifying how to evaluate resources, identify pairs, or counter optimal opponents. The reference answer explicitly targets moves that create **two simultaneous threats**, which the assistant omits.

5. **Structural Issues**:  
   Section headers (e.g., ""Key Strategies"") are not reused as self-contained predicates/strategies, violating the instruction to ""create a new name for each relevant predicate for reusing later.""

### Rating  
[[3]]","# How to Win the Resource Capture Game

## Understanding the Game

In this game, you play as Blue against an opponent (Orange) who always makes the best possible moves. Your goal is to select white cells to capture resources that will lead to a win.

## Key Strategies

### Immediate Win Strategy
Look for moves that will directly win the game in a single turn. When you see a chance to win immediately, take it without hesitation.

### Two-Step Win Strategy
Find moves that set up a guaranteed win on your next turn. These are positions where you can force a win even if your opponent plays perfectly.

### Three-Step Win Strategy
Identify moves that create winning opportunities within three turns. These are more complex situations where you're setting up future advantages.

### Board Analysis
Examine the current state of the board carefully. Look for:
- Lines (rows, columns, or diagonals) where you already have resources
- Empty white cells that could complete winning patterns
- Areas where capturing a resource would block your opponent

### Turn Management
Keep track of whose turn it is and how many moves have been made. This helps you anticipate your opponent's options and plan accordingly.

## How to Apply These Strategies

1. First, scan the board for any immediate win opportunities using the Immediate Win Strategy.

2. If no immediate win is possible, look for moves that set up a guaranteed win on your next turn using the Two-Step Win Strategy.

3. If neither of the above works, use the Three-Step Win Strategy to create advantageous positions for future turns.

4. Always remember that your opponent plays optimally, so avoid moves that give them winning opportunities.

5. When in doubt, choose positions that both advance your goals and block your opponent's progress.

By applying these strategies systematically, you can make the best possible moves to capture resources and achieve victory."
deepseek-reasoner,claude-3-7-sonnet-20250219,task_3,lens_np,7,"### Explanation
The assistant's response provides a clear strategy overview for winning the resource capture game against an optimal opponent. It successfully avoids programming jargon and uses plain language, renaming concepts like ""win_1/win_2/win_3"" as ""Immediate/Two-Step/Three-Step Win Strategy"". The explanation is structured logically, covering board analysis and turn management while emphasizing opponent blocking.  

However, it lacks specificity about **resource pairs** (critical in the reference answer) and doesn't explicitly link strategies to creating unblockable winning conditions. The reference answer details how to force wins via resource pairs that opponents can't fully counter, while the assistant's version stays more generic. Depth is moderate, but omission of concrete resource mechanics reduces accuracy for this specific game context.  

Creativity and detail are adequate for beginners, but relevance suffers slightly without addressing how ""capturing resources"" directly enables wins (e.g., forming triplets via strategic pairs).  

**Strengths**:  
- Accessible language and renamed strategies  
- Clear step-by-step application  
- Emphasizes opponent blocking  

**Weaknesses**:  
- Missing resource pair/triplet mechanics  
- Less concrete than reference on forcing wins  
- Doesn’t explain *why* certain moves create unavoidable wins  

Rating: [[7]]","# How to Win the Resource Capture Game

## Understanding the Game

In this game, you play as Blue against an opponent (Orange) who always makes the best possible moves. Your goal is to select white cells to capture resources that will lead to a win.

## Key Strategies

### Immediate Win Strategy
Look for moves that will directly win the game in a single turn. When you see a chance to win immediately, take it without hesitation.

### Two-Step Win Strategy
Find moves that set up a guaranteed win on your next turn. These are positions where you can force a win even if your opponent plays perfectly.

### Three-Step Win Strategy
Identify moves that create winning opportunities within three turns. These are more complex situations where you're setting up future advantages.

### Board Analysis
Examine the current state of the board carefully. Look for:
- Lines (rows, columns, or diagonals) where you already have resources
- Empty white cells that could complete winning patterns
- Areas where capturing a resource would block your opponent

### Turn Management
Keep track of whose turn it is and how many moves have been made. This helps you anticipate your opponent's options and plan accordingly.

## How to Apply These Strategies

1. First, scan the board for any immediate win opportunities using the Immediate Win Strategy.

2. If no immediate win is possible, look for moves that set up a guaranteed win on your next turn using the Two-Step Win Strategy.

3. If neither of the above works, use the Three-Step Win Strategy to create advantageous positions for future turns.

4. Always remember that your opponent plays optimally, so avoid moves that give them winning opportunities.

5. When in doubt, choose positions that both advance your goals and block your opponent's progress.

By applying these strategies systematically, you can make the best possible moves to capture resources and achieve victory."
deepseek-reasoner,claude-3-7-sonnet-20250219,task_1,lens_ap,8,"### Explanation
The assistant's response aims to explain strategies for winning a game against an optimal opponent by capturing resources on white cells. The explanation uses simple, non-technical language and avoids programming terms, analogies, or jargon, adhering to the instructions. It renames strategies descriptively (e.g., ""Direct Win Strategy,"" ""Blocking Strategy"") for clarity and reuse. The response covers key elements:  
- **Helpfulness & Relevance**: Directly addresses the user's goal (pressing white cells to win) and incorporates opponent optimality.  
- **Accuracy**: Aligns with the reference answer's core idea (capturing the third resource to win) but expands into blocking and setup strategies.  
- **Depth & Detail**: Breaks down four actionable strategies with steps, though lacks concrete examples of ""resource types"" or ""territories.""  
- **Creativity**: Introduces layered tactics (e.g., ""Resource Pair Creation"") beyond the reference.  
- **Improvements**: Could better emphasize triplet-completion as the primary win condition (as in the reference) and clarify ""pairs"" as incomplete triplets.  

Rating: [[8]]","# Understanding Resource Capture Strategy

## Game Basics
In this game, you play as Blue against Orange who plays optimally. Your goal is to select white cells to capture resources that will lead to a win.

## Key Strategies

### Winning Move
*Direct Win Strategy*: Look for a move that immediately leads to victory. If you can capture a resource that directly results in a win, take it without hesitation.

### Blocking Strategy
*Defensive Position*: When your opponent is playing optimally, you need to identify and block their potential winning moves. Look for white cells that, if captured by Orange, would lead to their victory.

### Resource Pair Creation
*Building Advantage*: Try to create pairs of your resources while preventing your opponent from doing the same. Having multiple pairs gives you more options for your next moves.

### Future Planning
*Multi-step Strategy*: Sometimes winning requires planning several moves ahead. Look for moves that might not win immediately but set up future winning opportunities.

## How to Apply These Strategies

1. First, scan the board for any white cell that would give you an immediate win
2. If no immediate win is available, look for cells that would block your opponent's winning move
3. If neither is urgent, select cells that help you create resource pairs
4. Always think ahead about how your move affects future possibilities

Remember that your opponent will always make the best possible move, so you need to consider not just your current move but how the game will develop afterward."
